2018-08-02,2018-08-03,2018-08-02 18:34:23,CH,5.3
2018-02-14,2018-02-15,2018-02-13 12:39:54,GF,5.3
2017-12-16,2017-12-17,2017-12-16 12:36:23,CH,5.3
2018-12-24,2018-12-25,2018-12-24 11:25:49,TW,5.3
2018-08-25,2018-08-26,2018-08-25 15:31:23,JP,5.3
2017-12-16,2017-12-17,2017-12-16 15:10:48,CH,5.3
2017-12-30,2017-12-31,2017-12-30 12:55:29,DE,5.3
2018-08-02,2018-08-03,2018-08-01 16:53:26,GF,6.8
2018-12-22,2018-12-23,2018-12-22 17:08:46,BR,10.6
2018-06-28,2018-06-29,2018-04-20 09:07:56,HK,10.6
2018-05-16,2018-05-17,2018-05-16 07:19:30,BE,20
2017-12-26,2017-12-28,2017-12-26 18:04:39,GB,21.2
2018-06-14,2018-06-16,2018-06-15 07:57:41,CH,30.6
2018-10-20,2018-10-21,2018-10-20 11:18:02,CH,60.6
2018-01-20,2018-01-21,2018-01-20 11:44:00,NO,61.5
2018-03-30,2018-03-31,2018-03-28 23:29:03,CN,74.6
2018-03-30,2018-03-31,2018-03-28 09:49:02,HK,74.6
2017-12-25,2017-12-26,2017-12-25 01:58:02,CN,75.3
2017-12-26,2017-12-27,2017-12-26 09:08:02,DE,76.3
2017-12-22,2017-12-23,2017-12-22 17:43:54,GF,78.3
2018-02-25,2018-02-26,2018-02-25 13:50:02,CH,78.3
2017-12-29,2017-12-30,2017-12-29 12:05:01,CH,79.3
2017-12-29,2017-12-30,2017-12-29 20:22:02,KR,79.3
2018-02-04,2018-02-05,2018-02-03 08:52:02,CH,79.8
2018-04-02,2018-04-03,2018-04-02 23:15:39,GF,80
2018-03-08,2018-03-09,2018-03-05 20:52:22,DE,80
2018-01-18,2018-01-19,2018-01-18 16:10:18,GF,80
2019-01-10,2019-01-11,2019-01-10 21:23:02,CH,80.3
2017-12-23,2017-12-24,2017-12-22 22:43:02,CH,80.3
2019-01-10,2019-01-11,2019-01-10 23:49:03,CH,80.3
2017-12-26,2017-12-27,2017-12-26 10:11:02,AU,80.3
2018-03-30,2018-03-31,2018-03-28 23:38:03,CN,80.9
2018-04-08,2018-04-09,2018-04-08 22:30:03,GB,81
2018-04-01,2018-04-02,2018-04-01 11:37:03,CH,81
2018-02-18,2018-02-19,2018-02-19 07:26:11,GF,81.3
2018-01-14,2018-01-15,2018-01-08 09:40:02,DE,82.3
2017-12-22,2017-12-23,2017-12-19 20:01:01,CH,82.3
2018-04-08,2018-04-09,2018-04-08 13:11:55,GF,82.3
2018-03-29,2018-03-30,2018-03-29 12:43:03,CH,82.3
2018-01-14,2018-01-15,2018-01-11 16:00:04,DE,82.3
2018-03-17,2018-03-18,2018-03-18 07:20:30,GF,82.3
